000-01 	Capcom 	Steel Battalion Behemoth 	XBOX 	 	 	 	 
080 	Bandai 	WonderSwan Color 	WSC 	 	October 26, 2009 	 	 
081 	Taito 	Space Invaders 25th Anniversary Controller 	PS2 	 	November 9, 2009 	 	 
082 	Bandai 	WonderWave 	PS1/WS 	 	November 9, 2009 	 	 
083 	Bandai 	WonderBorg 	WS 	 	November 17, 2009 	 	 
084 	Bandai 	WonderSwan 	WS 	 	November 17, 2009 	 	 
085 	HORI 	Super Robot Wars/Taisen Controller 	PS2 	 	November 18, 2009 	 	 
086 	Sony 	PSone LCD 	PS1 	 	November 24, 2009 	 	 
087 	Spacetec 	SpaceOrb 360 	PC 	 	December 21, 2009 	 	 
088 	Singer 	IZEK Computerized Sewing Machine 	GBC 	 	December 21, 2009 	 	 
089 	Bandai 	ZXE-D: Legend of Plasmalite 	PS1 	 	January 6, 2010 	 	 
090 	Essential Reality 	P5 Glove 	PC 	 	January 9, 2010 	 	 
091 	Super Soft 	Terminator 	Atari/Sinclair 	 	January 15, 2010 	 	 
092 	Beeshu 	JetFighter 	SNES/Genesis 	 	February 9, 2010 	 	 
093 	Nyko 	Classic Trackball 	PS1 	 	February 12, 2010 	 	 
094 	ASCII/Agetec/Sammy 	Grip v2 	PS2 	 	February 16, 2010 	 	 
095 	Namco 	Easy Piano 	DS 	 	February 23, 2010 	 	 
096-A 	Nintendo 	PokéWalker 	DS 	 	March 14, 2010 	 	 
096-B 	Nintendo 	Wii Fit Meter 	Wii U 	 	November 6, 2013 	 	 
097 	ASCII 	Sphere 360 	PS1 	 	May 4, 2010 	 	 
098 	HORI 	Hyper Stick Pro 	360 	 	April 6, 2010 	 	 
099 	InterAct 	StarFire LightBlaster 	DC 	 	April 6, 2010 	 	 
100 	HORI 	Twin Stick Ex 	360 	 	April 1, 2010 	 	 
101 	Reality Quest 	Glove  	PS1 	 	April 20, 2010 	 	 
102 	Datel 	TiltFX 	PSP (2K/3K only) 	 	April 16, 2010 	 	 
103 	EMS 	LCD TopGun 	XBOX/PC/PS2 	 	May 1, 2010 	 	 
104 	BanPresto 	8 Bit Retro Mario Mouse (Mario) 	PC 	 	June 7, 2010 	 	 
105 	XCM 	XFPS Fire 	PS3 	 	July 6, 2010 	 	 
106 	Atari 	LeStick 	Atari 	 	July 20, 2010 	 	 
107 	Taito 	Vaus 	NES 	 	July 21, 2010 	 	 
108 	Sony 	DTL-H development controller 	PS1 	 	July 27, 2010 	 	 
109 	Sony 	Prototype SNESCD controller DTL-H500, codename MW.3 	PS1 	 	July 30, 2010 	 	 
110 	HORI 	Dragon Quest Battle Road Victory Controller 	Wii 	 	August 3, 2010 	 	 
111 	Nintendo 	3D System 	NES 	 	August 5, 2010 	 	 
112 	CTA Digital 	Assault Rifle 	PS3 	 	August 10, 2010 	 	 
113 	Sony 	BUZZ! Buzzers  	PS2/PS3 	 	September 3, 2010 	 	 
114 	Atlus 	KidsStation 	PS1 	 	September 15, 2010 	 	 
115 	Sony 	Move 	PS3 	 	September 17, 2010 	 	 
116 	Sony 	NavCon 	PS3/PSP Go 	 	September 17, 2010 	 	 
117 	HORI 	JogDial 	PS1 	 	September 20, 2010 	 	 
118 	Takara 	EX Jinsei/Game of Life 	PS2 	 	September 20, 2010 	 	 
119 	Microsoft 	Big Button Pad 	XBOX360 	 	September 24, 2010 	 	 
120 	Dragonplus 	RPG DuoCon 2 	PS2 	 	October 5, 2010 	 	 
121 	Sony 	PiStol3 	PS3 	 	October 12, 2010 	 	 
122 	Activision 	Top Shot Elite 	PS3 	 	October 29, 2010 	 	 
123 	THQ 	uDraw Game Tablet 	Wii 	 	November 14, 2010 	 	 
124 	Venom 	Mini D.D.R. Fingerpad 	PS1/PS2 	 	November 15, 2010 	 	 
125 	Eagle3 	HKS Racing Controller 	PS3 	 	December 8, 2010 	 	 
126 	Techni 	NEScade 	Wii/NES Classic 	 	December 9, 2010 	 	 
127-A 	Ubisoft 	BattleTag 	PC 	 	December 13, 2010 	 	 
127-B 	Ubisoft 	MedKit (for BattleTag) 	PC 	 	April 26, 2011 	 	 
128 	PowerA 	3-in-1 Remote 	PS3 	 	December 22, 2010 	 	 
129 	Zalman 	FPSGUN 	PC 	 	January 4, 2011 	 	 
130 	Activision 	RIDE 	PS3 	 	January 8, 2011 	 	 
131 	Techni 	NES Paul 	PC 	 	February 15, 2011 	 	 
132 	ASCII 	Super Stick L5 	SNES 	 	February 16, 2011 	 	 
133 	Sony 	Move Sharp Shooter 	PS3 	 	February 18, 2011 	 	 
134 	In2Games 	GameTrak 	PS2 	 	February 18, 2011 	 	 
