000-01 	Capcom 	Steel Battalion Behemoth 	XBOX 	 	 	 	 
247-DA 	Nintendo 	Daisy amiibo 	Wii U/3DS/Switch 	 	November 10, 2016 	 	 
247-DB 	Nintendo 	Isabelle (Winter Outfit), Digby amiibos 	Wii U/3DS/Switch 	 	March 17, 2018 	 	 
247-IG 	Nintendo 	Inkling girl amiibo 	Wii U/3DS/Switch 	 	June 1, 2015 	 	 
247-IS 	Nintendo 	Isabelle (Summer Outfit) amiibo 	Wii U/3DS/Switch 	 	December 15, 2016 	 	 
247-IW 	Nintendo 	Isabelle (Winter Outfit) amiibo 	Wii U/3DS/Switch 	 	December 25, 2016 	 	 
247-LA 	Nintendo 	Link's Awakening amiibo 	3DS/Wii U/Switch 	 	October 12, 2019 	 	 
247-LI 	Nintendo 	Link amiibo 	Wii U/3DS/Switch 	 	November 26, 2014 	 	 
247-LM 	Nintendo 	Little Mac amiibo 	Wii U/3DS/Switch 	 	March 8, 2017 	 	 
247-LU 	Nintendo 	Luigi amiibo 	Wii U/3DS/Switch 	 	March 8, 2017 	 	 
247-LZ 	Nintendo 	Link & Zelda (Toon) amiibos 	Wii U/3DS/Switch 	 	December 9, 2016 	 	 
247-PE 	Nintendo 	Peach amiibo 	Wii U/3DS/Switch 	 	November 26, 2014 	 	 
247-RR 	Nintendo 	Rosalina/Rosetta amiibo 	Wii U/3DS/Switch 	 	February 13, 2015 	 	 
247-S0 	Nintendo 	Samus (Zero-Suit) amiibo 	Wii U/3DS/Switch 	 	September 15, 2015 	 	 
247-WL 	Nintendo 	Link (Wolf) amiibo 	Wii U/3DS/Switch 	 	March 4, 2016 	 	 
247-WP 	Nintendo 	Wedding Peach amiibo 	Wii U/3DS/Switch 	 	October 30, 2017 	 	 
247-ZB 	Nintendo 	Zelda (Breath of the Wild) amiibo 	Wii U/3DS/Switch 	 	March 3, 2017 	 	 
247-ZE 	Nintendo 	Zelda amiibo 	Wii U/3DS/Switch 	 	December 29, 2014 	 	 
248 	Evollve, Inc. 	OZOBOT 	AND/iOS 	 	December 29, 2014 	 	 
249 	Thalmic Labs 	Myo armband 	PC 	 	January 27, 2015 	 	 
250 	8BITDO 	NES30 	PC/AND/iOS 	 	February 13, 2015 	 	 
251 	Advantage 	Delta Six 	PS3/360/PC 	 	March 5, 2015 	 	 
252-A 	Nintendo 	Cosmo Black 3DS 	3DS 	 	March 27, 2011 	 	 
252-B 	Nintendo 	Majora's Mask new 3DS 	n3DS 	 	March 31, 2015 	 	 
253 	Sharp 	Cyber Stick CZ-8NJ2 	Sharp X68000 	 	April 19, 2015 	 	 
254 	Kickstarter 	NanoArcade 	SYS 	 	April 19, 2015 	 	 
255-AN 	Activision 	Skylanders 	AND/iOS 	 	April 19, 2015 	 	 
255-GN 	Activision 	Skylander (Ninjini Giant figure) 	MISC 	 	March 8, 2017 	 	 
256 	Collective Minds 	Chat Boost 	PS4/PSP2/VitaTV 	 	July 7, 2015 	 	 
257 	Shanda 	SNDA EZ Remote 	PC 	 	September 29, 2015 	 	 
258 	Steam 	Steam Controller 	PC 	 	October 17, 2015 	 	 
259 	8BITDO 	NES30 Pro 	PC/AND/iOS 	 	October 25, 2015 	 	 
260 	8BITDO 	SNES30 	PC/AND/iOS 	 	November 25, 2015 	 	 
261 	 	DerpyCon 	PC 	 	December 31, 2015 	 	 
262-A 	JOETSU Electronics 	L2/R2 Grip Cover 	PSP2 1000 	 	January 11, 2016 	 	 
262-B 	JOETSU Electronics 	L2/R2 Grip Cover Case 	PSP2 	 	June 16, 2017 	 	 
262-C 	Top Player 	L3/R3 Module 	PSP2 	 	December 18, 2017 	 	 
262-D 	JOETSU Electronics 	L3/R3 faceplate replacement 	PSP2 	 	July 31, 2019 	 	 
263 	Blue Orb 	Orbitouch 	PC 	 	February 22, 2016 	 	 
264 	HORI 	Pokken Tournament 	Wii U 	 	April 3, 2016 	 	 
265 	Mad Catz 	SURFR 	AND 	 	April 3, 2016 	 	 
266 	Sports Sciences Inc. 	BatterUP 	SNES 	 	April 3, 2016 	 	 
267 	Saitek 	X45 	PC 	 	 	 	 
268-A 	Samsung 	Q1 	PC 	 	 	 	 
268-B 	Amtek 	u560 	PC 	 	 	 	 
269-A 	Oculus 	Rift CV1 	PC 	 	April 28, 2016 	 	 
269-B 	Microsoft 	Wireless controller 	X1 	 	April 28, 2016 	 	 
270 	Ipega 	Bluetooth telescopic controller 	PC/AND 	 	May 9, 2016 	 	 
271 	Logic3 	TopDrive Space Wheel 	PS1/PS2 	 	June 2, 2016 	 	 
272 	 	Wireless gamepad and selfie shutter remote 	AND/PC/iOS 	 	June 8, 2016 	 	 
273-A 	 	Retrode 	PC/AND 	 	June 9, 2016 	 	 
273-B 	 	Retrode N64 module 	PC/AND 	 	December 28, 2016 	 	 
273-C 	 	Retrode GBx module 	PC/AND 	 	December 28, 2016 	 	 
274 	GPD 	Q88+ RK3188 	SYS 	 	June 15, 2016 	 	 
275 	Serafim 	ODiN laser projection mouse 	PC 	 	June 22, 2016 	 	 
276 	Logitech 	Netplay 	PS2 	 	July 9, 2016 	 	 
277 	MadCatz 	Panther 	DC 	 	July 9, 2016 	 	 
278 	Activision 	DJ Hero 	PS2 	 	July 18, 2016 	 	 
279 	Maksco Toy Ltd. 	ARliens attack 	iOS/AND 	 	August 13, 2016 	 	 
280-A 	NextThing Co. 	PocketCHIP 	SYS 	 	August 31, 2016 	 	 
280-B 	3D Hubs 	PocketCHIP keyboard 	SYS 	 	August 13, 2016 	 	 
281 	3D Rudder 	3D Rudder 	PC 	 	September 16, 2016 	 	 
282 	Nintendo 	Pokemon Go Plus 	iOS/AND 	 	September 18, 2016 	 	 
283 	Sony 	PSVR 	PS4 	 	October 13, 2016 	 	 
284 	Kickstarter 	Arduboy 	SYS 	 	October 20, 2016 	 	 
285 	HORI 	TAC Pro 	PS3/PS4 	 	November 7, 2016 	 	 
286-A 	Nintendo 	NES Classic 	SYS 	 	November 11, 2016 	 	 
286-B 	Nintendo 	NES Classic controller 	NES+SNES classic/Wii/WiiU 	 	October 6, 2018 	 	 
287 	Nintendo 	Gameboy Camera 	GB/GBC 	 	 	 	 
288 	Coleco 	Super Action Controller 	COL 	 	November 19, 2016 	 	 
289 	EMIO 	EDGE Joystick 	NES+SNES Classic/Wii/WiiU 	 	November 23, 2016 	 	 
290 	Samsung 	Galaxy Note 10.1 	AND 	 	March 25, 2015 	 	 
291 	Nintendo 	Z-ring 	3DS/2DS 	 	November 25, 2016 	 	 
292-A 	Kickstarter 	IoT pHAT 	Pi 	 	December 2, 2016 	 	 
292-B 	8bitdo 	Red Bear Zero 	Pi 	 	December 2, 2016 	 	 
293 	Microsoft 	X1 Analog Stick Caps 	X1/PS4 	 	November 23, 2016 	 	 
294 	Daou Infosys Corp 	Stealth 	SNES 	 	December 25, 2016 	 	 
295 	Capcom 	Soldier Pad 	SNES 	 	January 11, 2017 	 	 
296 	Sanwa 	Super Racer 	PC 	 	January 21, 2017 	 	 
297 	SEGA 	Pods 	SYS 	 	February 9, 2017 	 	 
298 	HAL Labs 	Joy Ball 	FAM 	 	February 9, 2017 	 	 
299-L 	Kickstarter 	Grifta Morphing Pad 	PC 	 	February 9, 2017 	 	 
300 	8bitdo 	N64 controller 	PC/AND/iOS 	 	February 9, 2017 	 	 
301 	BanPresto 	Kids Station Drawing Tablet 	PS1 	 	February 22, 2017 	 	 
302-A 	 	Titan Two 	PS3/PS4/360/X1/PSTV/PC/AND 	 	February 22, 2017 	 	 
302-B 	 	Titan Two Bluetooth Module 	 	 	January 25, 2018 	 	 
302-C 	Brook 	Gam3Gear Super USB Adapter for PS3/PS4 Controller Converter Adapter 	PS1/PS2/PC 	 	December 6, 2018 	 	 
302-D 	Brook 	Gam3Gear Super USB Adapter for PS3/PS4 Controller Converter Adapter  	DC 	 	December 24, 2019 	 	 
303 	Motorola 	Moto 360 (1st gen) 	AND 	 	November 22, 2016 	 	 
304 	Agetec 	Bass Landing 	PS1 	 	February 25, 2017 	 	 
305 	Bandai 	Bass Rise 	PS1 	 	March 8, 2017 	 	 
306 	Performance 	UltraRacer 	PS1 	 	March 8, 2017 	 	 
307 	ASUS 	Eee Stick 	PC 	 	March 8, 2017 	 	 
308 	Oculus 	Touch 	PC 	 	March 8, 2017 	 	 
309 	KidzPLAY 	Wireless Adventure Game Pad 	PS3 	 	March 8, 2017 	 	 
310 	KidzPLAY 	Wireless Motion Racing Wheel 	PS3 	 	March 8, 2017 	 	 
311 	 	Airpad 	PS1 	 	March 24, 2017 	 	 
312 	Belkin 	Nostromo n40 	PC 	 	April 6, 2017 	 	 
313 	Interact 	Pool Shark 	PC 	 	April 6, 2017 	 	 
314 	Phantom 	Lapboard 	PC/PS3 	 	April 6, 2017 	 	 
315 	Dempa Micomsoft 	XE1-AP 	GEN/SegaCD/32X/PCE/MSX/NEC PC-88/Sharp 68000/FM Towns 	 	April 8, 2017 	 	 
316 	Yamaha 	Racing MX-1 Motocross Jetski ATV controller  	PS2 	 	May 4, 2017 	 	 
317 	EMIO 	Elite controller 	PS3/PS4 	 	May 4, 2017 	 	 
318 	Microsoft 	Sidewinder Strategic Commander 	PC 	 	May 6, 2017 	 	 
319 	Mindscape 	Miracle Piano 	NES/SNES 	 	May 13, 2017 	 	 
320 	Fanatec 	Gameboard 	PC 	 	May 13, 2017 	 	 
321 	HORI 	Separate 	PS2 	 	May 13, 2017 	 	 
322 	Nintendo 	Max 	NES 	 	May 16, 2017 	 	 
323 	Sony 	Aim 	PS4 	 	May 16, 2017 	 	 
324 	RealPlay 	Puzzle Sphere 	PS2 	 	May 18, 2017 	 	 
325-A 	RealPlay 	Pool 	PS2 	 	May 18, 2017 	 	 
325-B 	RealPlay 	Golf 	PS2 	 	May 18, 2017 	 	 
326-A 	Play Fusion 	Lightseekers (Mari Starter Pack) 	PC/AND/iOS 	 	May 18, 2017 	 	 
326-B 	Play Fusion 	Skyrider flight pack 	PC/AND/iOS 	 	August 5, 2017 	 	 
327 	Logitech 	G-13 	PC 	 	May 18, 2017 	 	 
328 	 	Flying Circus RC controller 	PS2 	 	June 16, 2017 	 	 
329 	DragonCast 	Cyber Metal Gun 	DC 	 	June 17, 2017 	 	 
330 	Hudson 	Teku Teku Angel Pocket 	DS 	 	June 19, 2017 	 	 
331 	InterAct 	Vortex 	N64 	 	June 24, 2017 	 	 
332 	Spherex 	5.1 Surround Sound 	XBOX/360/PS2/PS3/PS4 	 	 	 	 
333 	 	R1 	AND/iOS 	 	July 20, 2017 	 	 
334 	QuickShot  	MasterPilot 	PC 	 	August 5, 2017 	 	 
335 	Capcom 	Mahjong controller 	FAM 	 	August 5, 2017 	 	 
336 	HORI 	Project DIVA F 	PS3 	 	September 1, 2017 	 	 
337 	HORI 	Dragon Quest Slime 	PS4 	 	September 1, 2017 	 	 
338 	Konami 	Pop'n Music 	PS1/PS2 	 	September 1, 2017 	 	 
339 	JXD 	JXD S7300C 	SYS 	 	September 1, 2017 	 	 
340 	Nintendo 	SNES mini 	SYS 	 	September 29, 2017 	 	 
341 	Microsoft 	Chatpad 	360 	 	October 2, 2017 	 	 
342 	Sony 	PSone 	SYS 	 	October 2, 2017 	 	 
343 	HORI 	Wireless Fighting Commander 	NES+SNES Classic/Wii/Wii U 	 	October 5, 2017 	 	 
344 	Tomy 	EVIO 	SYS 	 	October 27, 2017 	 	 
345 	Sony 	Tokimeki Memorial mouse 	PS1 	 	October 27, 2017 	 	 
346 	Hyperkin 	Hyper Click Mouse 	SNES 	 	October 31, 2017 	 	 
347 	DreamGEAR 	My Arcade 	SYS 	 	November 13, 2017 	 	 
348 	game-elements 	Control Element 	PSone 	 	November 22, 2017 	 	 
349 	HORI 	Remote Play Assistant 	PSP2 2K/slim 	 	November 22, 2017 	 	 
350 	Nintendo 	Pokémon Mini 	SYS 	 	November 22, 2017 	 	 
351 	Sony 	PS4 Pro 	SYS 	 	November 25, 2017 	 	 
352 	Kickstarter 	Infinitton 	PC 	 	December 4, 2017 	 	 
353 	8Bitdo 	SF30 Pro 	PC/AND/iOS/Switch 	 	December 26, 2017 	 	 
354 	8Bitdo 	Retro Receiver 	Wii/Wii U/NES Classic/SNES Classic/PC 	 	December 26, 2017 	 	 
355 	QuickShot 	3D Striker QS 6222 	PC 	 	January 20, 2018 	 	 
356 	 	RetroMini 	SYS 	 	January 20, 2018 	 	 
357 	HORI 	Wired Controller Light 	PS4 	 	January 25, 2018 	 	 
358 	iGUGU 	iGUGU 8079015 Gamecore 	PC 	 	January 25, 2018 	 	 
359 	Nintendo 	Switch 	SYS 	 	February 5, 2018 	 	 
360 	Mattel 	Power Glove 	NES 	 	February 10, 2018 	 	 
361 	Discovery Bay Games, Inc. 	duo Pinball 	iPad 	 	February 21, 2018 	 	 
362 	SEGA 	VMU 	DC 	 	 	 	 
363-A 	Nintendo 	Rumble Cart (Pokemon Pinball) 	GBC 	 	April 16, 1999 	 	 
363-B 	Nintendo 	Rumble Cart (Perfect Dark) 	GBC 	 	 	 	 
363-C 	Nintendo 	Rumble Cart (The Little Mermaid: Pinball Frenzy) 	GBC 	 	March 5, 2018 	 	 
364 	Whirlwind FX 	Vortx 	PC 	 	March 6, 2018 	 	 
365 	Kickstarter 	Gamebuino META 	SYS 	 	March 9, 2018 	 	 
366 	 	Link Cable 	DC 	 	March 9, 2018 	 	 
367 	 	Pocket Voltex 	PC 	 	March 9, 2018 	 	 
368 	SNK 	NeoGeo Pocket Color 	SYS 	 	March 9, 2018 	 	 
369 	Sony 	GPS 	PSP 	 	March 29, 2018 	 	 
370 	Kickstarter 	Brawler64 	N64 	 	March 29, 2018 	 	 
371 	Kickstarter 	Pokitto 	SYS 	 	March 29, 2018 	 	 
372 	Columbus Circle 	Family Pocket 	SYS 	 	October 6, 2017 	 	 
373 	Columbus Circle 	Arcade Stand 	Switch 	 	April 12, 2018 	 	 
374 	NamcoBandai 	Baku Tsuri Bar Hunter 	n3DS 	 	April 12, 2018 	 	 
375 	EMIO 	Switch Pad 	Switch 	 	April 22, 2018 	 	 
376 	Wild Things 	Energiser 	GEN 	 	May 5, 2018 	 	 
377 	Nintendo 	Gameboy Printer 	GB/GBC 	 	May 17, 2018 	 	 
378 	GameSir 	G5 	AND/iOS 	 	May 17, 2018 	 	 
379-A 	Basic Fun 	Oregon Trail Portable 	SYS 	 	May 20, 2018 	 	 
379-B 	Basic Fun 	Fix-it Felix Jr. 	SYS 	 	November 24, 2018 	 	 
379-C 	 	Bubble Bobble Mini Arcade 	SYS 	 	September 10, 2019 	 	 
380 	Hyperkin 	Duke 	X1/PC 	 	May 24, 2018 	 	 
381-A 	SuperImpulse 	Pac-Man Tiny Arcade 	SYS 	 	May 30, 2018 	 	 
381-B 	SuperImpulse 	Ms. Pac-Man Tiny Arcade 	SYS 	 	June 28, 2018 	 	 
381-C 	SuperImpulse 	Space Invaders Tiny Arcade 	SYS 	 	June 28, 2018 	 	 
381-D 	SuperImpulse 	Galaxian Tiny Arcade 	SYS 	 	June 28, 2018 	 	 
381-E 	SuperImpulse 	Frogger, Galaga, Dig Dug, Pole Position Tiny Arcades 	SYS 	 	September 7, 2019 	 	 
381-F 	SuperImpulse 	Tetris Tiny Arcade 	SYS 	 	September 10, 2019 	 	 
382 	 	Pocket Sprite 	SYS 	 	June 28, 2018 	 	 
383 	QuickShot 	Aviator 	NES 	 	July 7, 2018 	 	 
384 	Odroid 	Odroid Go 	SYS 	 	July 15, 2018 	 
385-A 	Clockwork 	GameShell 	SYS 	 	August 4, 2018 	 	 
385-B 	Clockwork 	GameShell dev board 3.1 	GS 	 	December 24, 2018 	 	 
386 	Clockwork 	Lightkey 	GS 	 	August 4, 2018 	 	 
387 	HORI 	Border Break Controller 	PS4 	 	August 9, 2018 	 	 
388 	HORI 	Cross Controller 	Switch 	 	August 27, 2018 	 	 
389-A 	Microsoft 	Adaptive Controller 	X1/PC 	 	September 14, 2018 	 	 
389-B 	PDP 	One-handed joystick 	X1/PC 	 	August 17, 2019 	 	 
389-C 	Logitech 	Adaptive Gaming Kit 	X1/PC 	 	January 9, 2020 	 	 
390 	Konami 	Pop'n Music Be-Mouse  	PC 	 	October 1, 2018 	 	 
391-A 	Ubisoft 	Starlink Starter Kit (Game, Base, Poster, Mason Rana, Zenith, Flamethrower, Shredder, and Frost Barrage) 	PS4 	 	October 16, 2018 	 	 
391-B 	Ubisoft 	Cerberus Starship Pack (Razor Lemay pilot, Cerberus ship, Shockwave weapon) 	PS4/X1/Switch 	 	October 20, 2018 	 	 
391-C 	Ubisoft 	Starlink Starter Kit (Game, Base, Poster, Mason Rana, Fox McCloud, Arwing, Flamethrower, Shredder, and Frost Barrage) 	Switch 	 	November 22, 2018 	 	 
391-D 	Ubisoft 	Eli Arborwood, (Shredder Mk. 2, Crusher), (Hailstorm, Meteor Mk. 2) 	PS4/X1/Switch 	 	December 17, 2018 	 	 
391-E 	Ubisoft 	Neptune Starship Pack (Neptune, Judge, Levitator) 	PS4/X1/Switch 	 	December 18, 2018 	 	 
391-F 	Ubisoft 	Pulse Starship Pack (Calisto Chase Da Silva, Volcano), Kharl Zeon (pilot), Freeze Ray Mk. 2, Iron Fist (Weapons) 	 	 	March 24, 2019 	 	 
391-G 	Ubisoft 	Lance starship pack (Hunter Hakka, Imploder), Nadir starship pack (Shaid, Nullifier), Gauss Gun Mk. 2 (weapon) 	MISC 	 	March 26, 2019 	 	 
391-H 	Ubisoft 	Controller Mount 	PS4 	 	March 30, 2019 	 	 
391-I 	Ubisoft 	Startail pilot 	PS4/X1/Switch 	 	April 20, 2019 	 	 
392 	Nintendo 	Donkey Kong Bongos 	GCN/Wii 	 	October 20, 2018 	 	 
393 	SEGA 	Saturn Controller 	PS2 	 	October 21, 2018 	 	 
394-A 	SNK 	Neo Geo Mini 	Neo Geo Mini 	 	October 28, 2018 	 	 
394-B 	SNK 	Neo Geo Mini controller (white) 	Neo Geo Mini 	 	October 28, 2018 	 	 
394-C 	SNK 	Neo Geo Mini controller (black) 	Neo Geo Mini 	 	November 2, 2018 	 	 
395 	Nintendo 	Pokéball Plus 	Switch 	 	November 16, 2018 	 	 
396 	GameTech 	Deka Vita 7 	VitaTV 	 	November 24, 2018 	 	 
397 	Sony 	PlayStation Classic 	SYS 	 	December 3, 2018 	 	 
398 	Kickstarter 	Flip Grip 	Switch 	 	December 17, 2018 	 	 
399-A 	Nintendo 	Super Gameboy 	SNES 	 	 	 	 
399-B 	Nintendo 	Gameboy Player 	GCN 	 	 	 	 
400 	Nintendo 	GameCube – Game Boy Advance link cable 	GCN/GBA 	 	February 12, 2002 	 	 
401 	Kickstarter 	Tilted 	PC 	 	January 20, 2019 	 	 
402 	Linx 	Vision 8 	WIN 	 	January 20, 2019 	 	 
403 	Kickstarter 	LEXIP mouse 	PC 	 	February 8, 2019 	 	 
404 	Kickstarter 	Hunter 	PC 	 	February 25, 2019 	 	 
405 	Uniplay 	Smart U6 Gamepad 	PC/AND 	 	March 14, 2019 	 	 
406 	ColecoVision 	Rainbow Brite 	SYS 	 	March 18, 2019 	 	 
407 	HORI 	HD LCD 	PS3 (slim) 	 	April 4, 2019 	 	 
408 	Pokitto 	JoyHat 	Pokitto 	 	April 4, 2019 	 	 
409 	Nintendo 	NES Controllers 	Switch 	 	May 19, 2019 	 	 
410 	Retro bit 	Tribute64 	N64 	 	June 19, 2019 	 	 
411-A 	Retroflag 	GPi case 	Pi 0/Pi 0 W 	 	June 19, 2019 	 	 
411-B 	Retro Game Restore 	GPi Mate Plus for CM4 lite 	gPi 	 	July 2, 2021 	 	 
412 	Bandai 	Tamagotchi On 	SYS 	 	July 11, 2019 	 	 
413 	Fidgetly Inc. 	Fidgetly CTRL 	iOS/AND 	 	July 18, 2019 	 	 
414 	Hyperkin 	Smartboy 	AND 	 	July 27, 2019 	 	 
415 	Aduro 	AR Gaming Gun 	iOS/AND 	 	August 6, 2019 	 	 
416 	8bitdo 	SN30 Pro+ 	PC/AND/MAC/Switch/Pi 	 	August 15, 2019 	 	 
417-A 	Super Impulse 	Pacman - Micro Arcade 	SYS 	 	August 17, 2019 	 	 
418 	SEGA 	Genesis Mini 	SYS 	 	September 19, 2019 	 	 
419 	8bitdo 	NES Mouse 	PC 	 	November 30, 2019 	 	 
420 	New Wave Toys 	Street Fighter II Mini Fight Stick 	PC 	 	December 14, 2019 	 	 
421 	NamcoBandai 	Bakutsuri Gigarod 	Switch 	 	December 14, 2019 	 	 
422 	PDP 	Mars 	PS4 	 	December 23, 2019 	 	 
423 	Sony 	Back Button Attachment 	PS4/PS3/VitaTV 	 	January 24, 2020 	 	 
424 	Kickstarter 	All Controller 	Misc 	 	February 29, 2020 	 	 
425 	Nintendo 	SNES Controller 	Switch 	 	March 27, 2020 	 	 
426 	Smilesoft 	Telefang 	GBA 	 	May 8, 2020 	 	 
427 	Datel 	TurboFire 	PS3 	 	May 29, 2020 	 	 
428 	Blaze Entertainment 	Evercade 	SYS 	 	June 24, 2020 	 	 
429 	Kickstarter 	StrikerDC 	DC 	 	July 10, 2020 	 	 
430 	Divoom 	Ditoo 	SYS 	 	August 21, 2020 	 	 
431 	LEGO 	Mario 	MISC 	 	August 21, 2020 	 	 
432 	SEGA 	Game Gear Micro 	SYS 	 	October 10, 2020 	 	 
433 	Nintendo 	Mario Game & Watch 	SYS 	 	November 13, 2020 	 	 
434 	Kickstarter 	Colors Live Sonar Pen 	Switch 	 	November 17, 2020 	 	 
435 	Sony 	DualSense 	PS5 	 	November 20, 2020 	 	 
436-A 	SEGA 	Astro City Mini 	SYS 	 	December 22, 2020 	 	 
436-B 	SEGA 	Controller 	Astro City Mini 	 	March 31, 2021 	 	 
437 	Atari 	Classic Joystick 	VCS 	 	January 7, 2021 	 	 
438 	Rufus Labs 	Rufus Cuff 	Android 	 	March 2, 2021 	 	 
439 	AtGames 	Legends BitPixel 	PC/Pi 	 	May 14, 2021 	 	 
440 	Sinden 	Lightgun 	PC 	 	June 24, 2021 	 	 
441 	Blue Ocrean 	Sonic Screwdriver 	Wii 	 	July 2, 2021 	 	 
442 	Nintendo 	Mario Kart Live 	Switch 	 	July 8, 2021 	 	 
443 	Govee 	Immersion 	Multi 	 	July 27, 2021 	 
